NC26    ,EU ,3 3/8,1 3/4  ,7,8   ,15  ,6.65
NC26    ,EU ,3 3/8,1 3/4  ,7,8   ,15  ,6.65
NC26    ,EU ,3 3/8,1 3/4  ,7,8   ,15  ,6.65
NC31    ,EU ,4 1/8,2 1/8  ,7,9   ,16  ,10.4
NC31    ,EU ,4 1/8,2      ,7,9   ,16  ,10.4
NC31    ,EU ,4 1/8,2      ,7,9   ,16  ,10.4
NC31    ,EU ,4 3/4,1 5/8  ,7,9   ,16  ,10.4
NC38    ,EU ,4 3/4,2 11/16,8,10.5,18.5,13.3
NC38    ,EU ,5    ,2  9/16,8,10.5,18.5,13.3
NC38    ,EU ,5    ,2  7/16,8,10.5,18.5,13.3
NC38    ,EU ,5    ,2 1/8  ,8,10.5,18.5,13.3
NC38    ,EU ,5    ,2  9/16,8,10.5,18.5,15.5
NC38    ,EU ,5    ,2  7/16,8,10.5,18.5,15.5
NC38    ,EU ,5    ,2 1/8  ,8,10.5,18.5,15.5
NC 40   ,EU ,5 1/2,2 1/4  ,7,10  ,17  ,15.5
NC 40   ,IU ,5 1/4,2 13/16,7,10  ,17  ,14
NC 40   ,IU ,5 1/4,2 11/16,7,10  ,17  ,14
NC 40   ,IU ,5 1/2,2  7/16,7,10  ,17  ,14
NC 40   ,IU ,5 1/2,2      ,7,10  ,17  ,14
NC 46   ,EU ,6    ,3 1/4  ,7,10  ,17  ,14
NC 46   ,EU ,6    ,3 1/4  ,7,10  ,17  ,14
NC 46   ,EU ,6    ,3 1/4  ,7,10  ,17  ,14
NC 46   ,EU ,6    ,3      ,7,10  ,17  ,14
NC 46   ,IU ,6    ,3 3/8  ,7,10  ,17  ,13.75
NC 46   ,IEU,6 1/4,3 1/4  ,7,10  ,17  ,16.6
NC 46   ,IEU,6 1/4,3      ,7,10  ,17  ,16.6
NC 46   ,IEU,6 1/4,3      ,7,10  ,17  ,16.6
NC 46   ,IEU,6 1/4,2 3/4  ,7,10  ,17  ,16.6
NC 46   ,IEU,6 1/4,3      ,7,10  ,17  ,20
NC 46   ,IEU,6 1/4,2 3/4  ,7,10  ,17  ,20
NC 46   ,IEU,6 1/4,2 1/2  ,7,10  ,17  ,20
NC 46   ,IEU,6 1/4,2 1/4  ,7,10  ,17  ,20
NC 50   ,EU ,6 1/4,3 3/4  ,7,10  ,17  ,13.75
NC 50   ,EU ,6 3/8,3 3/4  ,7,10  ,17  ,16.6
NC 50   ,EU ,6 3/8,3 3/4  ,7,10  ,17  ,16.6
NC 50   ,EU ,6 3/8,3 3/4  ,7,10  ,17  ,16.6
NC 50   ,EU ,6 3/8,3 1/2  ,7,10  ,17  ,16.6
NC50    ,EU ,6 3/8,3 5/8  ,7,10  ,17  ,20
NC50    ,EU ,6 3/8,3 1/2  ,7,10  ,17  ,20
NC50    ,EU ,6 3/8,3 1/2  ,7,10  ,17  ,20
NC50    ,EU ,6 3/8,3      ,7,10  ,17  ,20
NC50    ,IEU,6 3/8,3 3/4  ,7,10  ,17  ,19.5
NC50    ,IEU,6 3/8,3 1/2  ,7,10  ,17  ,19.5
NC50    ,IEU,6 1/2,3 1/4  ,7,10  ,17  ,19.5
NC50    ,IEU,6 5/8,2 3/4  ,7,10  ,17  ,19.5
NC50    ,IEU,6 3/8,3 1/2  ,7,10  ,17  ,25.6
NC50    ,IEU,6 1/2,3      ,7,10  ,17  ,25.6
NC50    ,IEU,6 5/8,2 3/4  ,7,10  ,17  ,25.6
5 1/2 FH,IEU,7    ,3 3/4  ,8,10  ,18  ,19.5
5 1/2 FH,IEU,7    ,3 3/4  ,8,10  ,18  ,19.5
5 1/2 FH,IEU,7    ,3 3/4  ,8,10  ,18  ,19.5
5 1/2 FH,IEU,7 1/4,3 1/2  ,8,10  ,18  ,19.5
5 1/2 FH,IEU,7    ,3 1/2  ,8,10  ,18  ,25.6
5 1/2 FH,IEU,7    ,3 1/2  ,8,10  ,18  ,25.6
5 1/2 FH,IEU,7 1/4,3 1/2  ,8,10  ,18  ,25.6
5 1/2 FH,IEU,7 1/4,3 1/4  ,8,10  ,18  ,25.6
5 1/2 FH,IEU,7    ,4      ,8,10  ,18  ,21.9
5 1/2 FH,IEU,7    ,3 3/4  ,8,10  ,18  ,21.9
5 1/2 FH,IEU,7 1/4,3 1/2  ,8,10  ,18  ,21.9
5 1/2 FH,IEU,7 1/2,3      ,8,10  ,18  ,21.9
5 1/2 FH,IEU,7    ,4      ,8,10  ,18  ,24.7
5 1/2 FH,IEU,7 1/4,3 1/2  ,8,10  ,18  ,24.7
5 1/2 FH,IEU,7 1/4,3 1/2  ,8,10  ,18  ,24.7
5 1/2 FH,IEU,7 1/2,3      ,8,10  ,18  ,24.7
6 5/8 FH,IEU,8    ,5      ,8,11  ,19  ,25.2
6 5/8 FH,IEU,8    ,5      ,8,11  ,19  ,25.2
6 5/8 FH,IEU,8 1/4,4 3/4  ,8,11  ,19  ,25.2
6 5/8 FH,IEU,8 1/2,4 1/4  ,8,11  ,19  ,25.2
6 5/8 FH,IEU,8    ,5      ,8,11  ,19  ,27.7
6 5/8 FH,IEU,8 1/4,4 3/4  ,8,11  ,19  ,27.7
6 5/8 FH,IEU,8 1/4,4 3/4  ,8,11  ,19  ,27.7
6 5/8 FH,IEU,8 1/2,4 1/4  ,8,11  ,19  ,27.7
