ROTATIVO RECTO CORTO  ,NEAR BIT    ,NC38     ,3 1/2 REG,6     ,2    ,2.95
MANGA REEMPLAZABLE    ,            ,         ,         ,      ,     ,
NO GIRATORIO          ,            ,         ,         ,      ,     ,
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC38     ,NC38     ,6     ,2    ,3.94
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC38     ,NC38     ,6 1/4 ,2    ,3.94
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC38     ,NC38     ,6 1/2 ,2    ,3.94
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC46     ,NC46     ,7 1/2 ,2 1/4,5.25
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC46     ,NC46     ,7 7/8 ,2 1/4,5.25
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC46     ,NC46     ,8 3/8 ,2 4/5,5.91
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC46     ,NC46     ,8 1/2 ,2 4/5,5.91
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC46     ,NC46     ,8 3/4 ,2 4/5,5.91
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC50     ,NC50     ,8 3/8 ,2 4/5,5.91
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC50     ,NC50     ,8 1/2 ,2 4/5,5.91
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC50     ,NC50     ,8 3/4 ,2 4/5,5.91
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC46     ,NC50     ,8 3/8 ,2 4/5,5.91
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC46     ,NC50     ,8 1/2 ,2 4/5,5.91
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC46     ,NC50     ,8 3/4 ,2 4/5,5.91
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC50     ,NC46     ,8 3/8 ,2 4/5,5.91
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC50     ,NC46     ,8 1/2 ,2 4/5,5.91
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC50     ,NC46     ,8 3/4 ,2 4/5,5.91
ROTATIVO ESPIRAL CORTO,DRILL STRING,NC50     ,NC50     ,9 1/2 ,2 4/5,5.91
