HIDRAULICO,NC-38    ,NC-38    ,4 3/4,52.39,9.8  ,544
HIDRAULICO,3 1/2 IF ,3 1/2 IF ,4 3/4,52.39,9.8  ,544
HIDRAULICO,NC-38    ,NC-38    ,4 3/4,57.15,9.8  ,544
HIDRAULICO,3 1/2 IF ,3 1/2 IF ,4 3/4,57.15,9.8  ,544
HIDRAULICO,NC-46    ,NC-46    ,6 1/4,57.15,10.1 ,930
HIDRAULICO,4 1/2 XH ,4 1/2 XH ,6 1/4,57.15,10.1 ,930
HIDRAULICO,NC-50    ,NC-50    ,6 1/2,69.85,10.1 ,1089
HIDRAULICO,4 1/2 IF ,4 1/2 IF ,6 1/2,69.85,10.1 ,1089
HIDRAULICO,5 1/2 FH ,5 1/2 FH ,7    ,69.85,10.1 ,1361
HIDRAULICO,6 5/8 REG,6 5/8 REG,7 3/4,76.2 ,10.1 ,1588
HIDRAULICO,6 5/8 REG,6 5/8 REG,8    ,76.2 ,10.1 ,1724
HIDRAULICO,7 5/8 REG,7 5/8 REG,9 1/2,76.2 ,10.1 ,2495
HIDRAULICO,NC-38    ,NC-38    ,4 3/4,57.15,10.29,725.33
HIDRAULICO,NC-50    ,NC-50    ,6 1/2,69.85,10.52,1179.34
HIDRAULICO,5 1/2 FH ,5 1/2 FH ,7    ,69.85,10.52,1587.57
HIDRAULICO,6 5/8 REG,6 5/8 REG,8    ,76.2 ,10.97,1905.09
HIDRAULICO,2 3/8 IF ,2 3/8 IF ,3 3/8,34.93,4.9  ,249
HIDRAULICO,NC-26    ,NC-26    ,3 3/8,34.93,4.9  ,249
HIDRAULICO,3 1/2 IF ,3 1/2 IF ,4 3/4,57.15,6.1  ,454
HIDRAULICO,NC-38    ,NC-38    ,4 3/4,57.15,6.1  ,454
HIDRAULICO,4 1/2 IF ,4 1/2 IF ,6 1/4,64.01,6.1  ,816
HIDRAULICO,NC-50    ,NC-50    ,6 1/4,64.01,6.1  ,816
HIDRAULICO,4 1/2 IF ,4 1/2 IF ,6 1/2,64.01,6.1  ,885
HIDRAULICO,NC-50    ,NC-50    ,6 1/2,64.01,6.1  ,885
HIDRAULICO,6 5/8 REG,6 5/8 REG,8    ,69.85,6.1  ,1361
HIDRAULICO,6 5/8 FH ,6 5/8 REG,8    ,69.85,6.1  ,1361
HIDRAULICO,7 5/8 REG,7 5/8 REG,9 1/2,76.2 ,6.1  ,1882
MECANICO  ,3 1/2 IF ,3 1/2 IF ,4 3/4,50.8 ,10.1 ,612
MECANICO  ,NC-38    ,NC-38    ,4 3/4,50.8 ,10.1 ,612
MECANICO  ,NC-46    ,NC-46    ,6 1/4,57.15,10.1 ,1134
MECANICO  ,4 1/2 XH ,4 1/2 XH ,6 1/4,57.15,10.1 ,1134
MECANICO  ,4 1/2 IF ,4 1/2 IF ,6 1/4,57.15,10.1 ,1134
MECANICO  ,NC-46    ,NC-46    ,6 1/2,57.15,10.1 ,1253
MECANICO  ,4 1/2 XH ,4 1/2 XH ,6 1/2,57.15,10.1 ,1253
MECANICO  ,4 1/2 IF ,4 1/2 IF ,6 1/2,57.15,10.1 ,1253
MECANICO  ,6 5/8 REG,6 5/8 REG,7 3/4,69.85,10.5 ,1860
MECANICO  ,NC-38    ,NC-38    ,4 3/4,50.8 ,9.3  ,608
MECANICO  ,3 1/2 IF ,3 1/2 IF ,4 3/4,50.8 ,9.3  ,608
MECANICO  ,NC-46    ,NC-46    ,6 1/4,57.15,10.4 ,1134
MECANICO  ,4 1/2 XH ,4 1/2 XH ,6 1/4,57.15,10.4 ,1134
MECANICO  ,4 IF     ,4 IF     ,6 1/4,57.15,10.4 ,1134
MECANICO  ,5 1/2 REG,5 1/2 REG,6 7/8,64.01,10.5 ,1429
MECANICO  ,6 5/8 REG,6 5/8 REG,7 3/4,69.85,10.8 ,1814
