5:6 ,4.5 ,BOX,1 AMMT NC12  ,1 AMMT NC12  ,1 11/16,43 ,2.8
4:5 ,3   ,BOX,1 1/2 AMMT   ,1 1/2 AMMT   ,2  1/16,52 ,2.13
4:5 ,7   ,BOX,1 1/2 AMMT   ,1 1/2 AMMT   ,2  1/16,52 ,2.74
5:6 ,3   ,BOX,1 1/2 AMMT   ,1 1/2 AMMT   ,2  1/16,52 ,2.13
5:6 ,6   ,BOX,1 1/4 REG    ,1 /4 REG     ,2  1/8 ,54 ,3.2
5:6 ,2.5 ,BOX,1 1/4 REG    ,1 /4 REG     ,2 3/8  ,60 ,2.58
5:6 ,3.5 ,BOX,1 1/4 REG    ,1 /4 REG     ,2 3/8  ,60 ,3.03
5:6 ,5.2 ,BOX,1 1/4 REG    ,1 /4 REG     ,2 3/8  ,60 ,3.82
5:6 ,3   ,BOX,2 3/8 REG    ,2 3/8 REG    ,2 7/8  ,73 ,3.1
5:6 ,3.3 ,BOX,2 3/8 REG    ,2 3/8 REG    ,2 7/8  ,73 ,3.05
7:8 ,4   ,BOX,2 3/8 REG    ,2 3/8 REG    ,2 7/8  ,73 ,3.69
5:6 ,7   ,BOX,2 3/8 REG    ,2 3/8 REG    ,2 7/8  ,73 ,4.46
7:8 ,3.2 ,BOX,2 3/8 REG    ,2 3/8 REG    ,2 7/8  ,73 ,3.05
7:8 ,3.7 ,BOX,2 3/8 REG    ,2 3/8 REG    ,2 7/8  ,73 ,3.42
7:8 ,2   ,BOX,2 3/8 REG    ,2 3/8 REG    ,2 7/8  ,73 ,3.32
5:6 ,3   ,BOX,2 3/8 REG    ,2 3/8 REG    ,3 1/8  ,79 ,3.1
5:6 ,5.2 ,BOX,2 3/8 API REG,2 3/8 API REG,3 1/8  ,79 ,4.75
7:8 ,4   ,BOX,2 3/8 REG    ,2 3/8 REG    ,3 1/8  ,79 ,3.69
5:6 ,3.5 ,BOX,2 3/8 API REG,2 3/8 API REG,3 1/8  ,79 ,3.7
5:6 ,3   ,BOX,2 3/8 REG    ,2 3/8 REG    ,3 1/2  ,89 ,3.6
4:5 ,5   ,BOX,2 7/8 REG    ,2 7/8 REG    ,3 1/2  ,89 ,4.61
7:8 ,3   ,BOX,2 7/8 REG    ,2 7/8 REG    ,3 1/2  ,89 ,4.61
7:8 ,4   ,BOX,2 3/8 REG    ,2 3/8 REG    ,3 1/2  ,89 ,3.6
1:2 ,4   ,BOX,2 7/8 REG    ,2 7/8 REG    ,3 3/4  ,95 ,3.79
5:6 ,3   ,BOX,2 7/8 REG    ,2 7/8 REG    ,3 3/4  ,95 ,3.79
9:10,4   ,BOX,2 7/8 REG    ,2 7/8 REG    ,3 3/4  ,95 ,3.79
5:6 ,3   ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,5.08
5:6 ,3   ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,5.08
1:2 ,3   ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,575
1:2 ,3   ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,575
2:3 ,10.5,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,8.38
2:3 ,10.5,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,8.38
4:5 ,3.5 ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,5.07
4:5 ,3.5 ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,5.07
4:5 ,6   ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,6.87
4:5 ,6   ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,6.87
5:6 ,4   ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,6.25
5:6 ,4   ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,6.25
5:6 ,5   ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,7.39
5:6 ,5   ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,7.39
5:6 ,6   ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,8.56
5:6 ,6   ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,8.56
5:6 ,8.3 ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,8.28
5:6 ,8.3 ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,8.28
7:8 ,2   ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,5.08
7:8 ,2   ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,5.08
7:8 ,2   ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,6.13
7:8 ,2   ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,6.13
7:8 ,2.2 ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,5.07
7:8 ,2.2 ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,5.07
7:8 ,2.5 ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,5.08
7:8 ,2.5 ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,5.08
7:8 ,3   ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,5.08
7:8 ,3   ,BOX,3 1/2 IF     ,3 1/2 REG    ,4 3/4  ,120,5.08
7:8 ,3.8 ,BOX,3 1/2 REG    ,3 1/2 REG    ,4 3/4  ,120,6.87
