OD (in),ID (in),CONEXI�N TOP,TIPO,CONEXI�N BIT,TIPO2,LONG (m),PESO (kg)
4.75   ,1.75   ,3 1/2 IF    ,PIN ,3 1/2 IF    ,BOX  ,3.5     ,270
5      ,1.75   ,XT39        ,PIN ,XT39        ,BOX  ,3.5     ,360
6.5    ,2.25   ,4 1/2 IF    ,PIN ,4 1/2 XH    ,BOX  ,3.68    ,590
8      ,3      ,6 5/8 REG   ,PIN ,6 5/8 REG   ,BOX  ,4.12    ,817
9.5    ,3      ,7 5/8 REG   ,PIN ,7 5/8 REG   ,BOX  ,4.12    ,1225
12     ,3.25   ,7 5/8 H90   ,PIN ,7 5/8 H90   ,BOX  ,4.21    ,2041
6 1/2  ,2      ,4 1/2 IF    ,PIN ,4 1/2 REG   ,BOX  ,3.8     ,467
6 1/2  ,2      ,4 1/2 XH    ,PIN ,4 1/2 REG   ,BOX  ,3.8     ,467
8      ,2.25   ,6 5/8 REG   ,PIN ,6 5/8 REG   ,BOX  ,4.3     ,907
9      ,2.5    ,7 5/8 REG   ,PIN ,6 5/8 REG   ,BOX  ,4.4     ,1089
9.5    ,2.5    ,7 5/8 REG   ,PIN ,6 5/8 REG   ,BOX  ,5.5     ,1814
11     ,2.75   ,7 5/8 REG   ,PIN ,7 5/8 REG   ,BOX  ,4.6     ,1826
4.75   ,1.5    ,3 1/2 IF    ,PIN ,3 1/2 IF    ,BOX  ,3.7     ,272
6.5    ,2.52   ,4 1/2 IF    ,PIN ,4 1/2 IF    ,BOX  ,3.7     ,454
8      ,2.75   ,6 5/8 REG   ,PIN ,6 5/8 REG   ,BOX  ,4.3     ,816
9.5    ,3      ,7 5/8 REG   ,PIN ,7 5/8 REG   ,BOX  ,4.9     ,1361
11.25  ,3      ,8 5/8 REG   ,PIN ,8 5/8 REG   ,BOX  ,4.9     ,1950
12     ,3      ,8 5/8 REG   ,PIN ,8 5/8 REG   ,BOX  ,4.9     ,2198
