NC38     ,4 3/4,2 1/4  ,9.4,46.7
3 1/2 IF ,4 3/4,2 1/4  ,9.4,46.7
NC38     ,4 3/4,2 11/16,9.4,40.96
3 1/2 IF ,4 3/4,2 11/16,9.4,40.96
NC50     ,6 3/4,2 13/16,9.4,100.5
4 1/2 IF ,6 3/4,2 13/16,9.4,100.5
6 5/8 REG,8    ,2 13/16,9.4,149.76
NC38     ,5    ,2 1/4  ,9.4,53.22
3 1/2 IF ,5    ,2 1/4  ,9.4,53.22
NC38     ,5    ,2 11/16,9.4,15.22
3 1/2 IF ,5    ,2 11/16,9.4,15.22
NC46     ,6 1/2,2 13/16,9.4,91.67
4 IF     ,6 1/2,2 13/16,9.4,91.67
NC46     ,6 1/2,3 1/4  ,9.4,84.58
4 IF     ,6 1/2,3 1/4  ,9.4,84.58
NC50     ,6 3/4,3 1/4  ,9.4,93.38
4 1/2 IF ,6 3/4,3 1/4  ,9.4,93.38
6 5/8 REG,8    ,3 1/4  ,9.4,142.58
